project_id,floor_no,element_type,planned_start_day,cycle_time_days,actual_start_day,formwork_type,area_sqm,quantity,cost_per_sqm,total_cost,optimized_quantity,optimized_cost,cost_saving
P053,11,Slab,54,8,56,Steel,62.58,8,850,425544.0,8,425544.0,0.0
P071,16,Wall,338,4,339,Timber,66.81,10,600,400860.0,9,360774.0,40086.0
P010,16,Wall,296,4,297,Aluminum,88.84,11,1100,1074964.0,10,977240.0000000001,97723.99999999988
P045,2,Slab,42,3,41,Aluminum,15.56,14,1100,239624.0,12,205392.0,34232.0
P017,8,Beam,93,8,98,Steel,44.95,12,850,458490.00000000006,11,420282.50000000006,38207.5
P026,13,Wall,260,5,258,Timber,63.19,8,600,303312.0,6,227484.0,75828.0
P085,17,Column,281,9,286,Steel,61.31,13,850,677475.5,10,521135.0,156340.5
P092,24,Column,356,9,360,Aluminum,11.95,10,1100,131450.0,8,105160.0,26290.0
P062,3,Slab,192,9,191,Aluminum,27.04,21,1100,624624.0,14,416416.0,208208.0
P046,30,Column,125,7,124,Timber,86.12,23,600,1188456.0000000002,21,1085112.0,103344.00000000023
P064,13,Slab,296,7,300,Timber,56.39,18,600,609012.0,15,507510.0,101502.0
P002,19,Slab,348,7,352,Aluminum,47.22,5,1100,259710.0,4,207768.0,51942.0
P054,7,Wall,341,9,344,Aluminum,91.02,10,1100,1001219.9999999999,9,901098.0,100121.99999999988
P065,9,Slab,35,6,35,Aluminum,16.75,11,1100,202675.0,8,147400.0,55275.0
P051,19,Slab,47,9,52,Steel,93.01,5,850,395292.5,4,316234.0,79058.5
P053,22,Beam,153,4,158,Aluminum,12.5,21,1100,288750.0,14,192500.0,96250.0
P036,18,Wall,238,4,243,Aluminum,60.64,21,1100,1400784.0,14,933856.0,466928.0
P026,23,Column,5,9,6,Timber,59.96,11,600,395736.00000000006,8,287808.0,107928.00000000006
P029,2,Beam,125,4,127,Aluminum,67.52,18,1100,1336896.0,15,1114080.0,222816.0
P021,11,Beam,328,8,326,Aluminum,12.67,11,1100,153307.0,8,111496.0,41811.0
P011,31,Wall,87,6,89,Timber,57.75,17,600,589050.0,16,554400.0,34650.0
P040,33,Wall,3,5,1,Aluminum,20.23,22,1100,489566.0,19,422807.0,66759.0
P011,14,Beam,165,3,166,Timber,24.04,11,600,158664.0,8,115392.0,43272.0
P036,16,Wall,223,9,228,Timber,29.38,6,600,105768.0,6,105768.0,0.0
P059,11,Wall,349,9,349,Timber,65.19,23,600,899621.9999999999,17,664938.0,234683.99999999988
P039,33,Slab,297,8,299,Timber,45.11,18,600,487188.0,13,351857.99999999994,135330.00000000006
P099,7,Wall,343,4,341,Timber,17.68,5,600,53040.0,5,53040.0,0.0
P054,31,Slab,341,5,340,Timber,36.01,20,600,432119.99999999994,18,388907.99999999994,43212.0
P098,14,Beam,25,7,29,Timber,16.9,11,600,111539.99999999999,10,101400.0,10139.999999999985
P055,28,Beam,39,9,40,Aluminum,69.77,20,1100,1534939.9999999998,15,1151205.0,383734.99999999977
P024,16,Column,105,3,105,Steel,60.17,24,850,1227468.0,19,971745.5,255722.5
P022,19,Wall,5,7,9,Aluminum,46.69,16,1100,821744.0,13,667667.0,154077.0
P069,17,Beam,136,9,139,Timber,93.49,9,600,504846.0,8,448752.0,56094.0
P056,26,Slab,4,5,3,Timber,56.69,21,600,714294.0,16,544224.0,170070.0
P033,6,Beam,169,5,169,Aluminum,89.88,17,1100,1680756.0,11,1087548.0,593208.0
P036,9,Wall,316,7,314,Steel,62.12,18,850,950435.9999999999,12,633624.0,316811.9999999999
P020,17,Column,310,8,315,Aluminum,43.91,20,1100,966019.9999999999,18,869417.9999999999,96602.0
P083,31,Column,78,3,77,Aluminum,58.51,17,1100,1094137.0,13,836693.0,257444.0
P099,12,Beam,19,7,22,Aluminum,23.67,22,1100,572814.0,15,390555.0,182259.0
P081,23,Column,205,7,210,Steel,70.73,22,850,1322651.0000000002,20,1202410.0,120241.00000000023
P062,5,Wall,355,8,358,Timber,98.39,13,600,767442.0,11,649374.0,118068.0
P098,3,Wall,324,7,324,Steel,32.27,5,850,137147.50000000003,5,137147.50000000003,0.0
P073,24,Column,33,3,34,Aluminum,39.09,6,1100,257994.00000000003,5,214995.00000000003,42999.0
P026,17,Slab,150,6,152,Aluminum,46.55,12,1100,614459.9999999999,9,460845.0,153614.99999999988
P066,26,Column,193,3,196,Steel,53.51,17,850,773219.5,15,682252.5,90967.0
P073,4,Column,139,8,142,Steel,74.72,10,850,635120.0,8,508096.0,127024.0
P073,12,Beam,272,7,276,Timber,22.3,23,600,307740.0,17,227460.0,80280.0
P040,1,Slab,196,4,198,Timber,37.22,23,600,513635.99999999994,15,334980.0,178655.99999999994
P017,21,Column,127,4,126,Steel,58.48,6,850,298248.0,5,248539.99999999997,49708.00000000003
P001,19,Beam,349,5,350,Timber,63.06,14,600,529704.0,11,416196.00000000006,113507.99999999994
P089,21,Beam,231,6,232,Aluminum,58.3,9,1100,577169.9999999999,8,513040.0,64129.99999999988
P061,18,Beam,44,9,48,Steel,49.19,5,850,209057.5,5,209057.5,0.0
P043,3,Wall,230,9,230,Timber,74.03,17,600,755106.0,11,488598.0,266508.0
P042,32,Beam,216,8,215,Aluminum,28.4,16,1100,499840.0,13,406120.0,93720.0
P025,10,Beam,244,5,248,Steel,35.45,14,850,421855.00000000006,12,361590.0,60265.00000000006
P039,15,Wall,9,9,10,Timber,50.0,7,600,210000.0,6,180000.0,30000.0
P035,5,Wall,250,5,250,Aluminum,72.6,19,1100,1517339.9999999998,13,1038180.0,479159.99999999977
P003,4,Beam,200,4,201,Steel,17.41,9,850,133186.5,7,103589.5,29597.0
P044,28,Column,334,3,333,Timber,20.41,23,600,281658.0,16,195936.0,85722.0
P051,4,Slab,79,5,80,Aluminum,80.42,23,1100,2034626.0,18,1592316.0,442310.0
P094,15,Wall,245,5,249,Aluminum,33.49,17,1100,626263.0,12,442068.0,184195.0
P098,17,Slab,190,9,191,Aluminum,96.71,12,1100,1276572.0,9,957429.0,319143.0
P012,3,Wall,86,6,87,Aluminum,96.53,12,1100,1274196.0000000002,11,1168013.0,106183.00000000023
P019,10,Beam,271,9,273,Steel,71.74,10,850,609790.0,9,548811.0,60979.0
P044,23,Wall,262,4,260,Aluminum,74.52,13,1100,1065636.0,12,983664.0,81972.0
P059,18,Beam,1,3,0,Steel,68.59,18,850,1049427.0,14,816221.0,233206.0
P049,1,Slab,20,6,25,Steel,25.96,9,850,198594.0,6,132396.0,66198.0
P061,31,Column,130,3,135,Timber,55.04,20,600,660480.0,18,594432.0,66048.0
P017,1,Beam,326,9,331,Steel,81.37,18,850,1244961.0,15,1037467.5000000001,207493.49999999988
P074,3,Slab,258,3,260,Aluminum,79.72,14,1100,1227688.0,12,1052304.0,175384.0
P057,3,Slab,131,5,136,Steel,90.89,21,850,1622386.5,14,1081591.0,540795.5
P055,19,Wall,7,6,5,Steel,91.07,20,850,1548190.0,14,1083733.0,464457.0
P047,29,Beam,340,5,343,Timber,33.53,24,600,482832.0,17,342006.0,140826.0
P012,25,Slab,241,7,242,Steel,74.95,21,850,1337857.5,17,1083027.5,254830.0
P062,33,Column,192,3,193,Timber,68.62,20,600,823440.0,18,741096.0,82344.0
P080,29,Wall,310,6,314,Steel,89.72,14,850,1067668.0,11,838882.0,228786.0
P088,26,Wall,297,4,299,Timber,26.51,22,600,349932.0,17,270402.0,79530.0
P083,4,Slab,115,5,115,Steel,76.58,10,850,650930.0,9,585837.0,65093.0
P008,14,Beam,102,7,101,Aluminum,48.1,21,1100,1111110.0,15,793650.0,317460.0
P095,27,Wall,338,8,336,Steel,45.5,13,850,502775.0,9,348075.0,154700.0
P021,33,Beam,319,7,324,Timber,13.22,12,600,95184.00000000001,11,87252.00000000001,7932.0
P081,22,Slab,1,7,2,Timber,96.53,12,600,695016.0000000001,11,637098.0,57918.00000000012
P087,3,Slab,25,5,30,Aluminum,70.82,16,1100,1246431.9999999998,12,934823.9999999999,311607.9999999999
P080,23,Beam,209,4,214,Aluminum,63.16,22,1100,1528472.0,14,972664.0,555808.0
P070,21,Column,143,9,142,Timber,32.6,6,600,117360.00000000001,4,78240.0,39120.000000000015
P072,23,Wall,197,6,198,Aluminum,69.26,7,1100,533302.0,6,457116.00000000006,76185.99999999994
P025,4,Slab,145,3,146,Steel,95.1,15,850,1212525.0,10,808350.0,404175.0
P082,21,Column,149,4,150,Steel,24.7,17,850,356915.0,15,314925.0,41990.0
P089,31,Column,181,5,185,Aluminum,98.54,22,1100,2384668.0,18,1951092.0,433576.0
P012,21,Beam,55,8,54,Steel,48.47,15,850,617992.5,13,535593.5,82399.0
P015,26,Beam,363,6,365,Steel,98.04,18,850,1500012.0,13,1083342.0,416670.0
P059,24,Beam,138,3,137,Aluminum,67.05,24,1100,1770119.9999999998,15,1106325.0,663794.9999999998
P026,11,Column,209,8,208,Timber,39.17,8,600,188016.0,5,117510.00000000001,70505.99999999999
P026,29,Wall,185,6,188,Steel,43.7,8,850,297160.0,7,260015.00000000003,37144.99999999997
P047,3,Beam,65,3,70,Aluminum,36.15,14,1100,556710.0,11,437415.0,119295.0
P032,1,Wall,37,9,37,Timber,40.13,6,600,144468.00000000003,6,144468.00000000003,0.0
P010,19,Beam,112,3,116,Steel,68.19,22,850,1275152.9999999998,16,927384.0,347768.99999999977
P016,22,Column,263,7,263,Steel,11.49,15,850,146497.5,12,117198.0,29299.5
P071,14,Wall,76,8,80,Aluminum,97.09,9,1100,961191.0000000001,8,854392.0,106799.00000000012
P017,14,Wall,296,8,298,Steel,79.17,21,850,1413184.5,16,1076712.0,336472.5
P023,16,Column,178,5,178,Timber,94.69,6,600,340884.0,6,340884.0,0.0
P026,33,Wall,254,4,259,Aluminum,74.58,7,1100,574265.9999999999,6,492228.0,82037.99999999988
P085,13,Column,1,9,6,Aluminum,53.29,11,1100,644808.9999999999,9,527571.0,117237.99999999988
P086,12,Column,148,7,152,Aluminum,27.08,6,1100,178728.0,6,178728.0,0.0
P007,33,Slab,364,7,366,Aluminum,56.47,6,1100,372702.0,5,310585.0,62117.0
P014,33,Beam,159,6,163,Timber,74.05,12,600,533160.0,8,355440.0,177720.0
P079,29,Slab,324,8,325,Timber,86.88,20,600,1042560.0,14,729792.0,312768.0
P007,5,Column,268,3,269,Timber,39.17,7,600,164514.0,6,141012.0,23502.0
P009,6,Column,150,3,155,Timber,55.94,10,600,335640.0,8,268512.0,67128.0
P048,31,Wall,129,9,128,Timber,65.8,23,600,908039.9999999999,20,789600.0,118439.99999999988
P072,16,Column,126,6,127,Timber,62.97,17,600,642294.0,12,453384.0,188910.0
P059,31,Column,1,8,1,Aluminum,14.71,8,1100,129448.00000000001,6,97086.0,32362.000000000015
P087,25,Column,117,5,122,Aluminum,53.51,21,1100,1236081.0,14,824054.0,412027.0
P093,33,Beam,149,3,147,Aluminum,82.81,13,1100,1184183.0,12,1093092.0,91091.0
P082,13,Slab,269,7,268,Timber,82.21,7,600,345281.99999999994,5,246629.99999999997,98651.99999999997
P095,10,Slab,189,7,191,Aluminum,55.64,5,1100,306020.0,5,306020.0,0.0
P094,24,Beam,141,8,142,Timber,95.71,5,600,287130.0,5,287130.0,0.0
P039,10,Beam,105,3,104,Aluminum,84.36,21,1100,1948716.0,14,1299144.0,649572.0
P099,31,Beam,252,3,251,Timber,76.36,17,600,778871.9999999999,11,503976.0,274895.9999999999
P018,13,Slab,281,5,280,Timber,56.4,9,600,304560.0,7,236880.0,67680.0
P059,3,Slab,344,8,345,Timber,63.16,23,600,871607.9999999999,16,606336.0,265271.9999999999
P017,34,Column,101,3,103,Steel,30.09,14,850,358071.0,13,332494.5,25576.5
P014,28,Slab,282,5,287,Steel,57.92,13,850,640016.0,11,541552.0,98464.0
P031,19,Wall,358,7,357,Timber,57.34,10,600,344040.00000000006,7,240828.0,103212.00000000006
P024,23,Slab,163,5,168,Aluminum,28.25,21,1100,652575.0,16,497200.0,155375.0
P099,32,Beam,203,3,202,Timber,95.6,11,600,630960.0,10,573600.0,57360.0
P060,13,Slab,100,4,99,Timber,32.03,20,600,384360.0,15,288270.0,96090.0
P045,33,Column,281,8,284,Steel,19.38,23,850,378878.99999999994,19,312987.0,65891.99999999994
P098,34,Slab,257,9,262,Timber,52.03,9,600,280962.0,8,249744.0,31218.0
P003,33,Beam,94,3,95,Steel,71.75,22,850,1341725.0,15,914812.5,426912.5
P037,5,Wall,324,4,327,Aluminum,27.56,11,1100,333475.99999999994,10,303159.99999999994,30316.0
P043,3,Beam,279,7,279,Aluminum,26.46,9,1100,261954.00000000003,7,203742.0,58212.00000000003
P040,7,Wall,227,8,229,Aluminum,33.53,12,1100,442596.0,8,295064.0,147532.0
P090,24,Column,362,9,361,Timber,37.24,13,600,290472.0,12,268128.0,22344.0
P055,22,Column,150,6,153,Steel,32.16,24,850,656063.9999999999,19,519383.99999999994,136679.99999999994
P087,23,Slab,351,8,350,Timber,52.36,8,600,251328.0,6,188495.99999999997,62832.00000000003
P039,30,Column,62,7,65,Aluminum,11.64,7,1100,89628.0,5,64020.0,25608.0
P015,18,Column,129,7,128,Timber,17.88,16,600,171648.0,13,139464.0,32184.0
P004,32,Beam,187,7,191,Steel,75.64,13,850,835822.0,10,642940.0,192882.0
P093,7,Beam,68,5,69,Steel,47.11,14,850,560609.0,10,400435.0,160174.0
P086,33,Slab,30,9,30,Aluminum,42.43,15,1100,700095.0,12,560076.0,140019.0
P025,5,Slab,304,7,303,Aluminum,10.94,20,1100,240679.99999999997,14,168476.0,72203.99999999997
P013,28,Slab,275,6,278,Aluminum,36.84,15,1100,607860.0,11,445764.0,162096.0
P082,8,Slab,127,3,126,Timber,83.91,12,600,604152.0,11,553806.0,50346.0
P033,15,Beam,213,4,214,Steel,40.63,18,850,621639.0,13,448961.50000000006,172677.49999999994
P016,4,Slab,306,8,308,Timber,96.73,6,600,348228.0,5,290190.0,58038.0
P042,34,Slab,134,8,136,Aluminum,45.1,8,1100,396880.0,6,297660.0,99220.0
P066,5,Column,219,7,219,Steel,51.77,19,850,836085.5000000001,13,572058.5,264027.0000000001
P055,33,Slab,319,4,323,Aluminum,82.17,22,1100,1988514.0,15,1355805.0,632709.0
P099,5,Wall,157,7,159,Steel,98.47,15,850,1255492.5,12,1004393.9999999999,251098.50000000012
P042,34,Column,188,5,187,Steel,43.44,23,850,849251.9999999999,15,553859.9999999999,295392.0
P034,26,Beam,162,4,163,Aluminum,20.79,22,1100,503118.0,14,320166.0,182952.0
P030,1,Wall,129,7,133,Steel,57.08,13,850,630734.0,11,533698.0,97036.0
P013,4,Slab,304,7,309,Steel,63.26,9,850,483939.0,6,322626.0,161313.0
P013,26,Column,89,6,88,Aluminum,96.35,14,1100,1483789.9999999998,11,1165835.0,317954.99999999977
P018,33,Slab,162,6,161,Steel,47.25,21,850,843412.5,16,642600.0,200812.5
P032,33,Column,36,9,36,Aluminum,18.17,24,1100,479688.00000000006,21,419727.00000000006,59961.0
P096,8,Slab,227,6,229,Timber,68.58,17,600,699515.9999999999,15,617220.0,82295.99999999988
P099,20,Wall,151,9,153,Timber,11.9,8,600,57120.0,7,49980.0,7140.0
P039,16,Beam,81,5,83,Aluminum,48.29,18,1100,956142.0,14,743665.9999999999,212476.00000000012
P046,21,Wall,47,9,50,Steel,46.87,12,850,478073.99999999994,10,398395.0,79678.99999999994
P029,26,Wall,204,4,203,Timber,32.93,19,600,375402.0,14,276612.0,98790.0
P062,23,Beam,148,5,149,Aluminum,96.79,7,1100,745283.0000000001,6,638814.0,106469.00000000012
P093,18,Column,231,3,232,Aluminum,46.31,21,1100,1069761.0,17,865997.0,203764.0
P062,31,Column,27,7,32,Steel,90.52,19,850,1461898.0,15,1154130.0,307768.0
P057,12,Beam,189,7,188,Steel,56.36,5,850,239530.0,4,191624.0,47906.0
P016,1,Slab,165,7,163,Steel,83.85,9,850,641452.5,6,427635.0,213817.5
P056,9,Column,212,6,211,Aluminum,50.63,12,1100,668316.0000000001,8,445544.0,222772.00000000012
P010,3,Wall,308,7,313,Timber,99.24,13,600,774071.9999999999,11,654983.9999999999,119088.0
P030,26,Beam,75,9,80,Aluminum,67.6,6,1100,446159.99999999994,5,371800.0,74359.99999999994
P025,9,Wall,92,6,97,Steel,24.04,9,850,183906.0,8,163472.0,20434.0
P084,16,Column,62,3,67,Steel,10.58,8,850,71944.0,8,71944.0,0.0
P005,24,Beam,66,5,70,Aluminum,93.6,16,1100,1647360.0,14,1441439.9999999998,205920.00000000023
P065,14,Beam,80,5,85,Steel,71.81,23,850,1403885.5,17,1037654.5,366231.0
P094,3,Column,140,9,143,Steel,19.57,6,850,99807.0,5,83172.5,16634.5
P049,34,Column,130,5,134,Aluminum,76.91,20,1100,1692019.9999999998,14,1184414.0,507605.99999999977
P003,33,Beam,254,6,256,Timber,30.44,6,600,109584.00000000001,5,91320.00000000001,18264.0
P045,24,Slab,320,8,319,Steel,82.83,14,850,985676.9999999999,13,915271.5,70405.49999999988
P014,9,Beam,29,8,32,Timber,64.89,14,600,545076.0,11,428274.0,116802.0
P030,13,Slab,202,4,200,Timber,21.13,21,600,266238.0,13,164814.0,101424.0
P068,2,Wall,237,8,236,Timber,16.39,16,600,157344.0,10,98340.0,59004.0
P018,7,Slab,87,4,91,Timber,51.95,11,600,342870.0,9,280530.0,62340.0
P062,21,Slab,96,3,98,Steel,94.32,13,850,1042235.9999999999,10,801720.0,240515.99999999988
P037,19,Column,287,4,287,Steel,60.82,18,850,930546.0,13,672061.0,258485.0
P025,25,Beam,339,3,340,Aluminum,78.32,22,1100,1895344.0,19,1636888.0,258456.0
P048,22,Wall,289,7,287,Steel,52.25,14,850,621775.0,12,532950.0,88825.0
P065,11,Beam,252,9,252,Aluminum,44.57,20,1100,980540.0,13,637351.0,343189.0
P053,33,Slab,180,5,181,Timber,84.0,5,600,252000.0,4,201600.0,50400.0
P079,32,Slab,100,9,100,Aluminum,51.7,13,1100,739310.0,11,625570.0,113740.0
P073,21,Slab,73,8,77,Aluminum,22.74,17,1100,425238.0,13,325182.0,100056.0
P015,20,Beam,131,6,130,Steel,34.71,20,850,590070.0,14,413049.0,177021.0
