project_id,floor_no,element_type,planned_start_day,cycle_time_days,actual_start_day
P042,34,Column,188,5,187
P034,26,Beam,162,4,163
P030,1,Wall,129,7,133
P013,4,Slab,304,7,309
P013,26,Column,89,6,88
P018,33,Slab,162,6,161
P032,33,Column,36,9,36
P096,8,Slab,227,6,229
P099,20,Wall,151,9,153
P039,16,Beam,81,5,83
P046,21,Wall,47,9,50
P029,26,Wall,204,4,203
P062,23,Beam,148,5,149
P093,18,Column,231,3,232
P062,31,Column,27,7,32
P057,12,Beam,189,7,188
P016,1,Slab,165,7,163
P056,9,Column,212,6,211
P010,3,Wall,308,7,313
P030,26,Beam,75,9,80
P025,9,Wall,92,6,97
P084,16,Column,62,3,67
P005,24,Beam,66,5,70
P065,14,Beam,80,5,85
P094,3,Column,140,9,143
P049,34,Column,130,5,134
P003,33,Beam,254,6,256
P045,24,Slab,320,8,319
P014,9,Beam,29,8,32
P030,13,Slab,202,4,200
P068,2,Wall,237,8,236
P018,7,Slab,87,4,91
P062,21,Slab,96,3,98
P037,19,Column,287,4,287
P025,25,Beam,339,3,340
P048,22,Wall,289,7,287
P065,11,Beam,252,9,252
P053,33,Slab,180,5,181
P079,32,Slab,100,9,100
P073,21,Slab,73,8,77
P015,20,Beam,131,6,130
P049,8,Slab,182,3,187
P088,9,Beam,194,8,193
P068,25,Wall,18,6,19
P012,25,Wall,126,6,127
P059,33,Beam,211,5,210
P037,2,Wall,7,9,6
P061,19,Column,114,7,117
P043,20,Slab,340,7,341
P070,29,Slab,84,9,85
P039,6,Slab,339,4,344
P056,17,Column,361,8,366
P063,25,Slab,102,7,107
P046,4,Beam,93,5,98
P088,30,Slab,316,8,320
P011,20,Beam,102,6,105
P062,3,Wall,251,3,252
P077,23,Beam,24,3,28
P098,18,Beam,167,7,169
P025,26,Beam,140,4,144
P071,8,Slab,94,3,97
P052,17,Column,181,4,183
P004,31,Column,64,3,69
P059,33,Beam,4,4,3
P072,27,Slab,94,9,96
P020,4,Column,272,4,276
P093,22,Wall,283,6,281
P063,26,Wall,132,5,131
P054,32,Slab,72,3,70
P074,24,Wall,304,8,304
P098,32,Wall,81,7,79
P057,7,Wall,174,5,174
P090,33,Column,300,6,298
P041,31,Wall,52,6,56
P003,12,Beam,290,6,294
P006,11,Beam,237,7,237
P005,24,Wall,277,3,282
P005,8,Beam,280,3,280
P054,32,Column,44,9,43
P047,22,Slab,254,9,258
P087,34,Beam,359,4,360
P049,19,Wall,134,4,135
P009,20,Slab,56,8,55
P099,14,Slab,14,4,14
P020,33,Wall,178,7,179
P061,10,Beam,101,5,102
P035,16,Column,180,9,178
P050,4,Beam,257,3,259
P082,27,Beam,268,4,267
P062,28,Column,362,9,364
P017,16,Slab,37,7,37
P088,33,Column,204,7,202
P003,19,Column,259,8,260
P032,21,Wall,155,4,158
P099,22,Wall,238,9,236
P013,9,Beam,309,9,308
P089,9,Wall,100,8,104
P073,9,Column,273,9,273
P068,27,Column,113,6,111
P014,17,Wall,110,6,108
P098,8,Wall,143,6,141
P011,16,Wall,167,4,168
P056,18,Column,260,7,260
P067,33,Slab,145,7,146
P092,1,Slab,230,3,228
P029,12,Wall,268,9,272
P009,6,Beam,32,6,33
P067,5,Beam,299,4,300
P025,16,Slab,219,3,218
P098,18,Wall,177,7,182
P076,18,Column,104,9,106
P042,1,Beam,236,9,238
P009,19,Beam,93,3,98
P079,8,Column,201,6,200
P040,3,Column,299,9,298
P025,25,Wall,231,9,234
P005,5,Column,255,9,260
P011,19,Column,85,5,86
P059,18,Column,35,6,38
P098,31,Slab,117,6,118
P088,33,Column,176,4,176
P079,18,Beam,276,5,278
P038,16,Wall,85,9,86
P072,16,Wall,117,8,117
P005,7,Wall,362,5,367
P048,14,Slab,204,5,208
P090,25,Beam,146,7,149
P018,32,Column,215,3,217
P070,22,Beam,105,7,110
P037,16,Wall,349,8,349
P060,29,Column,297,5,297
P048,16,Wall,356,4,355
P077,12,Wall,69,8,67
P028,17,Wall,255,9,253
P069,27,Beam,231,6,229
P077,25,Beam,203,9,203
P081,13,Wall,362,6,363
P040,8,Wall,248,7,253
P045,5,Column,249,9,252
P096,12,Wall,144,8,142
P062,3,Wall,283,7,284
P093,33,Wall,356,4,360
P058,22,Wall,241,6,245
P067,9,Beam,341,9,343
P056,18,Wall,229,7,232
P040,29,Slab,31,9,34
P098,27,Wall,109,3,107
P040,17,Beam,27,7,27
P091,34,Slab,343,7,342
P077,3,Slab,160,5,164
P033,5,Wall,17,3,17
P006,14,Wall,267,3,272
P088,3,Beam,129,9,132
P019,23,Slab,220,4,224
P080,30,Slab,82,9,83
P040,23,Beam,49,5,53
P092,27,Wall,41,3,43
P097,10,Column,20,5,23
P059,25,Column,327,5,327
P059,13,Slab,37,6,40
P048,16,Slab,39,9,44
P041,34,Wall,109,3,108
P013,22,Column,64,6,68
P045,17,Slab,175,9,174
P089,23,Wall,279,7,281
P053,9,Column,32,9,30
P042,2,Beam,209,7,214
P100,32,Slab,19,6,19
P063,22,Beam,106,7,109
P027,13,Column,206,6,211
P038,8,Wall,247,9,252
P060,1,Wall,323,4,323
P007,17,Column,167,5,166
P005,12,Beam,89,4,90
P045,4,Wall,316,3,321
P058,13,Slab,11,4,11
P031,31,Beam,49,4,53
P023,7,Beam,61,7,66
P042,23,Slab,171,8,170
P010,24,Column,143,9,144
P032,5,Wall,207,8,205
P053,5,Beam,201,6,205
P030,17,Wall,5,3,3
P039,30,Wall,211,8,210
P031,9,Beam,29,7,33
P082,6,Column,190,3,189
P100,25,Beam,188,5,186
P002,19,Column,325,6,324
P078,16,Slab,255,7,259
P077,21,Column,150,4,152
P093,2,Column,13,9,13
P012,10,Beam,157,5,159
P039,16,Wall,80,4,81
P066,15,Wall,356,8,355
P096,13,Column,273,9,272
P013,13,Column,148,3,152
P046,32,Beam,206,5,207
P027,8,Column,114,9,118
P017,18,Beam,6,9,6
P095,26,Slab,278,7,276
P098,10,Column,232,4,237
P060,31,Slab,137,8,139
P064,33,Column,160,4,160
P088,29,Column,344,3,342
P035,5,Slab,289,3,287
P070,13,Slab,205,8,204
P083,1,Beam,326,6,327
P030,23,Beam,305,8,308
P071,3,Slab,360,6,365
P074,3,Column,158,8,157
P096,7,Beam,358,8,362
P098,15,Column,106,3,109
P063,3,Wall,82,6,87
P028,29,Beam,342,8,343
P060,30,Beam,270,9,275
P079,18,Beam,49,4,48
P094,11,Wall,206,3,208
P037,1,Slab,218,9,217
P093,29,Column,306,9,308
P022,10,Wall,164,5,167
P068,28,Slab,279,3,279
P020,31,Beam,322,8,322
P096,19,Slab,231,7,234
P100,3,Slab,199,7,202
P068,15,Slab,214,9,213
P091,33,Column,284,9,284
P064,26,Slab,276,3,274
P017,16,Slab,185,5,190
P012,33,Slab,210,3,212
P022,20,Slab,121,5,124
P017,13,Wall,216,8,220
P010,33,Wall,97,4,98
P065,5,Slab,119,4,121
P022,14,Slab,282,5,281
P090,27,Slab,106,9,106
P082,23,Beam,318,6,318
P050,14,Slab,142,4,147
P014,4,Slab,323,7,321
P064,19,Wall,268,3,268
P047,4,Wall,291,8,290
P029,30,Wall,167,6,166
P076,19,Column,160,9,161
P036,31,Beam,231,7,233
P099,31,Slab,14,3,18
P052,9,Wall,193,7,198
P076,13,Column,155,6,157
P007,14,Slab,101,5,103
P029,10,Slab,60,3,64
P011,31,Wall,43,7,48
P033,23,Slab,193,8,194
P006,27,Slab,311,9,312
P079,6,Slab,109,8,110
P032,26,Wall,93,7,91
P051,2,Column,216,9,217
P075,13,Slab,163,6,168
P058,19,Column,351,6,351
P087,1,Slab,234,9,237
P026,32,Wall,351,8,349
P098,22,Column,167,8,171
P046,29,Wall,148,9,148
P098,2,Beam,28,6,32
P029,11,Slab,259,5,261
P004,17,Beam,86,4,85
P081,8,Beam,108,7,110
P099,22,Beam,117,5,118
P013,4,Slab,364,7,363
P039,11,Wall,15,8,17
P015,8,Beam,211,5,209
P029,9,Column,318,8,319
P029,26,Slab,31,9,33
P075,2,Wall,282,9,281
P032,16,Wall,185,8,185
P002,31,Beam,66,8,68
P047,6,Slab,316,3,314
P078,21,Beam,63,4,62
P084,26,Column,228,8,230
P022,19,Wall,101,7,101
P075,28,Wall,356,6,357
P027,8,Slab,139,4,144
P067,14,Wall,119,7,120
P081,24,Slab,57,3,61
P056,26,Beam,131,8,132
P092,31,Column,37,7,40
P093,32,Slab,111,7,110
P021,2,Beam,153,7,157
P047,25,Column,250,4,254
P080,2,Wall,242,8,246
P059,1,Column,208,7,211
P084,12,Column,170,6,174
P006,9,Column,257,8,257
P019,28,Wall,279,5,284
P057,33,Slab,363,6,363
P069,22,Slab,113,3,115
P003,25,Column,175,9,176
P001,18,Beam,89,4,88
P058,6,Beam,135,5,138
P038,18,Column,294,4,297
P015,16,Column,303,4,304
P034,15,Beam,359,7,362
P061,8,Column,206,6,207
P035,13,Column,318,5,323
P064,7,Slab,73,7,75
P025,17,Slab,259,5,261
P024,32,Column,358,8,360
P012,22,Column,148,8,146
P018,13,Wall,225,6,223
P015,23,Slab,105,7,108
P080,29,Column,44,5,43
P027,22,Wall,356,9,355
P072,1,Wall,26,8,28
P060,29,Wall,304,7,304
P046,5,Wall,261,4,260
P089,10,Slab,59,8,62
P017,19,Wall,61,3,65
P093,7,Slab,305,5,303
P053,13,Wall,70,9,75
P008,10,Wall,271,8,275
P079,2,Beam,257,6,261
P027,6,Slab,125,5,128
P046,8,Beam,19,3,22
P050,25,Beam,119,5,117
P071,7,Wall,320,5,325
P003,23,Slab,66,8,67
P093,19,Column,245,5,249
P064,22,Wall,57,6,59
P044,13,Slab,44,3,49
P053,21,Beam,12,8,16
P024,1,Slab,236,3,239
P060,19,Wall,24,6,29
P003,33,Slab,257,5,257
P020,4,Beam,284,5,289
P046,3,Slab,324,8,326
P015,27,Slab,361,3,365
P025,28,Beam,251,5,249
P094,6,Wall,94,9,94
P078,6,Column,22,4,21
P071,23,Beam,157,5,158
P017,33,Beam,89,9,92
P084,16,Wall,202,5,200
P100,24,Wall,197,7,198
P009,5,Slab,45,3,48
P038,13,Beam,79,3,83
P048,12,Slab,39,9,43
P060,5,Slab,284,4,287
P063,31,Wall,155,4,160
P086,28,Wall,149,4,151
P002,28,Slab,343,3,343
P088,30,Beam,52,7,54
P072,18,Beam,251,7,256
P011,27,Slab,147,6,148
P064,26,Column,329,3,333
P077,18,Column,350,6,348
P081,33,Wall,258,5,259
P072,25,Beam,273,4,271
P021,31,Slab,125,6,129
P018,2,Slab,204,8,208
P094,33,Beam,256,6,257
P064,32,Wall,131,3,136
P082,18,Wall,21,4,23
P095,17,Column,78,4,83
P038,34,Beam,335,7,339
P032,7,Beam,51,6,52
P011,30,Slab,362,7,361
P045,12,Beam,361,6,365
P089,11,Column,266,3,268
P033,4,Beam,116,3,117
P041,25,Slab,55,5,56
P008,32,Column,292,6,292
P011,20,Slab,51,6,55
P086,31,Beam,330,4,332
P051,4,Wall,273,9,273
P088,1,Beam,254,4,256
P041,3,Beam,61,9,66
P017,22,Slab,347,7,345
P076,17,Wall,351,5,353
P046,14,Beam,225,3,227
P032,13,Column,336,6,337
P079,2,Column,103,7,102
P080,13,Slab,48,5,51
P054,16,Slab,225,4,227
P086,18,Wall,342,5,342
P092,7,Slab,233,7,232
P020,30,Wall,70,3,75
P033,7,Beam,47,4,49
P074,15,Column,228,8,227
P040,19,Column,10,4,15
P032,2,Column,185,3,183
P097,13,Slab,80,9,79
P002,31,Slab,13,4,11
P097,16,Beam,314,7,313
P033,6,Slab,340,9,339
P077,28,Wall,324,4,324
P030,32,Column,84,6,87
P033,10,Beam,86,5,86
P077,18,Wall,157,9,158
P026,4,Wall,144,7,143
P022,9,Slab,63,3,61
P066,7,Slab,43,7,47
P038,8,Column,158,6,157
P090,7,Beam,185,9,189
P046,3,Wall,286,4,288
P015,17,Slab,323,4,321
P098,2,Slab,24,8,26
P044,15,Beam,357,7,358
P049,29,Beam,205,4,210
P075,22,Slab,362,4,364
P061,4,Slab,224,6,229
P067,6,Column,101,3,106
P006,26,Beam,204,8,205
P009,11,Wall,8,8,9
P006,26,Slab,172,8,173
P073,17,Slab,208,9,213
P095,24,Slab,96,5,98
P032,28,Slab,162,7,163
P041,31,Column,291,3,292
P076,13,Beam,96,5,96
P008,16,Slab,306,3,310
P072,15,Beam,145,7,150
P050,18,Wall,258,8,261
P092,27,Wall,300,6,299
P062,28,Wall,102,6,103
P084,9,Wall,177,6,175
P062,12,Beam,328,3,326
P007,15,Wall,110,7,110
P075,21,Wall,198,4,200
P084,33,Slab,129,4,131
P080,19,Slab,359,6,361
P004,23,Slab,137,9,142
P006,13,Column,27,3,28
P058,1,Slab,137,4,140
P022,29,Wall,164,3,168
P026,24,Beam,349,7,352
P003,16,Wall,356,9,358
P041,25,Beam,131,9,133
P060,23,Wall,151,6,150
P014,28,Column,246,5,249
P075,16,Slab,110,6,111
P082,11,Wall,73,5,74
P012,3,Slab,286,9,290
P087,15,Column,275,4,280
P012,1,Column,358,9,356
P013,7,Slab,67,8,65
P025,1,Slab,50,5,49
P045,32,Beam,304,8,304
P019,9,Slab,3,3,4
P055,29,Slab,226,9,230
P100,26,Beam,66,8,64
P045,23,Wall,155,5,157
P008,29,Beam,362,4,363
P093,33,Wall,111,4,112
P053,7,Wall,296,9,297
P055,12,Wall,256,6,259
P032,31,Beam,274,4,272
P051,32,Beam,155,3,154
P044,20,Column,139,5,137
P082,17,Wall,167,7,172
P070,3,Beam,19,4,21
P018,1,Column,345,8,347
P083,27,Wall,223,5,223
P022,33,Beam,57,6,55
P037,20,Beam,294,7,292
P096,14,Beam,133,6,133
P056,5,Slab,338,3,343
P059,23,Column,292,6,292
P003,15,Beam,344,5,345
P028,6,Slab,205,7,206
P074,33,Column,119,9,124
P035,19,Column,253,6,255
P061,13,Slab,85,6,89
P093,29,Column,185,9,189
P054,6,Slab,225,8,229
P063,15,Wall,148,8,152
P079,16,Beam,280,3,279
P097,24,Slab,227,9,229
P007,23,Column,286,9,289
P076,10,Column,284,5,282
P049,17,Wall,181,6,185
P094,30,Wall,109,5,108
P085,10,Wall,135,4,136
P031,19,Wall,291,3,291
P058,29,Wall,290,8,290
P061,2,Beam,103,9,108
P024,19,Slab,201,3,205
P020,7,Wall,117,3,119
P037,26,Wall,332,5,336
P004,15,Beam,310,9,308
P092,3,Slab,29,8,27
P020,16,Wall,27,8,27
P060,2,Slab,13,6,18
P024,31,Slab,42,6,44
P050,28,Beam,224,5,227
P049,7,Beam,21,5,23
P051,30,Wall,136,4,137
P096,7,Column,326,7,330
P036,29,Beam,221,7,222
P098,24,Slab,145,3,146
P100,4,Slab,10,6,14
P066,29,Wall,225,8,228
P079,5,Wall,141,9,140
P034,29,Wall,106,3,108
P036,30,Slab,268,9,270
P006,29,Beam,194,8,197
P039,26,Column,128,6,132
P042,19,Beam,213,6,214
P058,26,Column,151,4,151
P012,27,Beam,180,5,185
P003,30,Wall,317,9,318
P018,30,Slab,26,5,25
P040,3,Column,15,5,18
P021,7,Beam,22,7,26
P015,9,Slab,345,5,350
P097,13,Column,65,7,65
P099,15,Column,251,8,253
P026,5,Slab,21,3,20
P008,29,Wall,233,9,232
P100,27,Slab,16,7,21
P094,27,Wall,272,6,275
P087,8,Beam,205,4,205
P042,32,Beam,298,9,299
P044,20,Slab,160,4,161
P014,10,Wall,41,6,39
P078,13,Beam,108,8,108
P002,29,Wall,125,9,126
P037,8,Wall,152,3,151
P069,29,Wall,13,4,16
P038,31,Slab,203,9,204
P041,30,Wall,79,6,82
P062,22,Slab,42,4,47
P060,21,Beam,169,7,174
P014,12,Beam,249,8,250
P089,11,Column,121,4,124
P084,2,Column,272,8,271
P002,2,Beam,300,8,300
P070,34,Wall,209,7,207
P017,3,Wall,158,9,161
P089,16,Beam,121,8,122
P028,4,Beam,227,7,230
P066,23,Column,24,4,27
P035,20,Wall,230,4,231
P005,25,Beam,26,8,30
P065,30,Column,58,7,59
P040,18,Column,265,4,265
P076,11,Wall,126,8,125
P056,29,Column,275,9,280
P036,17,Column,28,3,27
P045,26,Slab,301,5,306
P023,23,Beam,128,9,127
P047,20,Wall,94,9,93
P031,2,Beam,191,5,190
P011,24,Slab,272,6,277
P010,31,Wall,5,8,9
P067,27,Beam,157,5,156
P014,2,Column,52,3,53
P080,14,Wall,243,8,244
P074,4,Slab,151,5,150
P093,13,Column,262,5,261
P010,8,Slab,305,3,305
P076,2,Column,80,7,83
P094,6,Beam,183,5,183
P001,31,Beam,354,9,356
P005,10,Beam,107,6,108
P020,21,Slab,154,9,158
P008,10,Wall,293,5,292
P043,23,Beam,205,5,209
P076,3,Slab,116,3,119
P001,32,Column,17,3,21
P057,20,Beam,288,8,289
P064,10,Column,156,6,160
P084,29,Beam,25,4,27
P028,34,Column,278,3,283
P037,20,Slab,317,4,317
P047,8,Beam,126,6,128
P076,7,Slab,300,5,298
P037,6,Slab,358,8,362
P049,11,Column,276,5,281
P044,18,Beam,178,9,178
P056,29,Wall,344,8,349
P028,25,Wall,47,4,48
P079,21,Slab,200,9,200
P006,3,Column,51,6,53
P061,18,Column,295,6,300
P020,24,Column,270,3,269
P078,10,Beam,197,4,200
P002,27,Beam,21,8,23
P073,12,Column,143,3,145
P037,7,Wall,248,4,252
P020,17,Wall,356,9,361
P026,1,Beam,353,3,357
P029,26,Column,1,3,0
P001,15,Wall,338,6,341
P035,33,Wall,274,6,279
P070,31,Beam,241,5,242
P059,1,Beam,58,5,61
P069,8,Wall,126,6,130
P033,12,Column,329,6,330
P051,19,Wall,52,9,52
P078,25,Wall,223,3,228
P012,32,Column,302,5,304
P020,12,Beam,363,6,363
P053,13,Column,269,4,268
P088,28,Column,96,4,94
P043,1,Column,273,5,277
P098,6,Column,323,4,324
P089,8,Beam,61,8,60
P050,4,Wall,321,3,322
P029,5,Slab,181,5,181
P057,25,Beam,133,8,131
P039,22,Column,89,6,93
P095,28,Wall,173,9,176
P056,23,Wall,312,9,314
P043,4,Column,5,8,8
P050,4,Beam,357,4,358
P023,21,Column,343,3,345
P044,2,Wall,204,6,208
P038,7,Wall,162,7,167
P084,16,Beam,61,3,66
P023,17,Slab,190,4,190
P045,20,Column,325,3,326
P052,23,Slab,63,9,66
P080,34,Wall,44,7,44
P050,11,Slab,239,7,244
P008,34,Column,28,3,30
P085,33,Column,198,9,198
P001,26,Wall,269,6,273
P008,2,Beam,171,9,176
P029,23,Beam,30,8,34
P096,22,Wall,154,6,158
P005,34,Column,209,7,213
P086,15,Beam,63,5,67
P047,10,Slab,329,5,329
P034,15,Wall,57,6,57
P065,29,Slab,320,5,319
P055,23,Column,208,6,213
P090,17,Beam,308,4,307
P043,9,Column,63,6,64
P074,9,Slab,248,4,248
P030,16,Column,141,8,146
P082,33,Column,93,7,96
P017,31,Wall,107,5,112
P026,6,Wall,88,8,88
P008,10,Column,301,8,305
P047,16,Wall,108,9,108
P076,4,Column,46,9,45
P091,22,Slab,77,7,79
P072,13,Wall,217,3,217
P089,16,Column,169,3,173
P046,29,Wall,302,8,307
P068,6,Column,129,8,127
P033,26,Wall,201,9,202
P001,11,Beam,196,7,195
P019,24,Column,348,6,350
P031,29,Beam,268,6,272
P080,3,Column,88,5,86
P014,10,Beam,253,7,253
P053,1,Column,238,3,241
P048,26,Wall,73,7,78
P069,12,Beam,358,7,361
P090,14,Wall,355,9,354
P062,25,Column,161,5,161
P092,8,Wall,58,6,59
P066,4,Column,291,8,290
P064,28,Wall,340,3,338
P070,7,Beam,66,5,69
P063,10,Column,26,3,30
P073,2,Wall,298,3,300
P033,26,Column,77,6,79
P041,14,Column,286,8,287
P089,16,Column,36,8,38
P048,17,Slab,19,9,21
P013,22,Column,278,6,282
P073,4,Wall,321,5,322
P077,19,Slab,313,4,316
P031,2,Wall,267,5,265
P075,9,Slab,282,5,281
P068,19,Column,19,4,22
P098,16,Beam,339,3,338
P004,25,Beam,140,7,141
P019,18,Column,67,4,70
P070,23,Slab,312,7,312
P098,21,Wall,18,3,19
P082,11,Beam,261,4,262
P013,4,Column,112,6,113
P023,25,Column,115,5,116
P083,32,Slab,166,4,168
P075,30,Beam,67,4,69
P001,26,Column,255,3,258
P088,34,Beam,70,6,68
P054,9,Wall,308,4,309
P071,12,Column,203,6,202
P089,2,Column,127,7,127
P085,5,Wall,321,4,323
P015,5,Column,80,6,85
P065,22,Slab,176,5,175
