project_id,floor_no,element_type,planned_start_day,cycle_time_days,actual_start_day,formwork_type,area_sqm,quantity,cost_per_sqm,total_cost
P040,27,Beam,63,4,68,Aluminum,19.15,7,1100,147454.99999999997
P066,12,Wall,284,3,285,Timber,14.98,19,600,170772.0
P025,31,Slab,225,3,229,Aluminum,76.58,20,1100,1684760.0
P073,32,Wall,161,5,162,Timber,90.73,19,600,1034322.0000000001
P022,32,Wall,36,9,38,Timber,24.95,18,600,269460.0
P004,21,Beam,141,7,146,Aluminum,94.7,19,1100,1979230.0
P026,10,Slab,318,7,321,Steel,64.92,11,850,607002.0
P058,16,Beam,196,4,199,Aluminum,21.16,9,1100,209484.0
P029,7,Beam,151,4,151,Steel,25.03,13,850,276581.5
P098,4,Beam,269,4,268,Steel,15.94,20,850,270980.0
P087,27,Slab,344,6,343,Aluminum,22.89,6,1100,151074.0
P037,25,Slab,40,7,43,Timber,75.89,11,600,500874.0
P075,31,Beam,238,3,242,Steel,29.69,16,850,403784.0
P070,11,Wall,222,4,226,Aluminum,60.55,20,1100,1332100.0
P018,20,Wall,281,8,286,Timber,74.9,8,600,359520.0
P085,17,Slab,225,5,228,Timber,90.57,6,600,326052.0
P042,11,Column,154,9,159,Timber,63.09,21,600,794934.0000000001
P100,30,Beam,280,3,280,Aluminum,61.27,21,1100,1415337.0
P041,22,Beam,353,9,358,Aluminum,92.15,7,1100,709555.0000000001
P038,27,Column,39,3,40,Timber,36.54,20,600,438480.0
P034,4,Slab,217,3,220,Timber,28.33,9,600,152981.99999999997
P017,16,Wall,244,7,248,Timber,88.55,11,600,584430.0
P037,16,Slab,109,4,112,Timber,16.71,17,600,170442.0
P025,21,Wall,61,5,66,Aluminum,27.07,13,1100,387101.0
P076,26,Wall,198,9,198,Timber,47.01,12,600,338472.0
P087,19,Slab,276,6,277,Steel,42.51,5,850,180667.5
P086,17,Beam,172,5,177,Steel,73.55,8,850,500140.0
P085,26,Beam,272,5,271,Aluminum,18.26,11,1100,220946.00000000003
P027,22,Beam,271,8,275,Steel,52.94,15,850,674984.9999999999
P057,28,Wall,42,5,46,Steel,82.77,12,850,844254.0
P031,1,Beam,189,6,192,Steel,71.5,12,850,729300.0
P006,2,Wall,260,5,258,Aluminum,66.85,24,1100,1764839.9999999998
P091,17,Beam,152,8,151,Steel,31.54,15,850,402135.0
P040,21,Slab,131,5,130,Timber,45.43,11,600,299838.0
P098,9,Column,114,9,112,Steel,26.27,15,850,334942.5
P012,13,Wall,222,4,222,Steel,55.8,22,850,1043459.9999999999
P053,11,Slab,54,8,56,Steel,62.58,8,850,425544.0
P071,16,Wall,338,4,339,Timber,66.81,10,600,400860.0
P010,16,Wall,296,4,297,Aluminum,88.84,11,1100,1074964.0
P045,2,Slab,42,3,41,Aluminum,15.56,14,1100,239624.0
P017,8,Beam,93,8,98,Steel,44.95,12,850,458490.00000000006
P026,13,Wall,260,5,258,Timber,63.19,8,600,303312.0
P085,17,Column,281,9,286,Steel,61.31,13,850,677475.5
P092,24,Column,356,9,360,Aluminum,11.95,10,1100,131450.0
P062,3,Slab,192,9,191,Aluminum,27.04,21,1100,624624.0
P046,30,Column,125,7,124,Timber,86.12,23,600,1188456.0000000002
P064,13,Slab,296,7,300,Timber,56.39,18,600,609012.0
P002,19,Slab,348,7,352,Aluminum,47.22,5,1100,259710.0
P054,7,Wall,341,9,344,Aluminum,91.02,10,1100,1001219.9999999999
P065,9,Slab,35,6,35,Aluminum,16.75,11,1100,202675.0
P051,19,Slab,47,9,52,Steel,93.01,5,850,395292.5
P053,22,Beam,153,4,158,Aluminum,12.5,21,1100,288750.0
P036,18,Wall,238,4,243,Aluminum,60.64,21,1100,1400784.0
P026,23,Column,5,9,6,Timber,59.96,11,600,395736.00000000006
P029,2,Beam,125,4,127,Aluminum,67.52,18,1100,1336896.0
P021,11,Beam,328,8,326,Aluminum,12.67,11,1100,153307.0
P011,31,Wall,87,6,89,Timber,57.75,17,600,589050.0
P040,33,Wall,3,5,1,Aluminum,20.23,22,1100,489566.0
P011,14,Beam,165,3,166,Timber,24.04,11,600,158664.0
P036,16,Wall,223,9,228,Timber,29.38,6,600,105768.0
P059,11,Wall,349,9,349,Timber,65.19,23,600,899621.9999999999
P039,33,Slab,297,8,299,Timber,45.11,18,600,487188.0
P099,7,Wall,343,4,341,Timber,17.68,5,600,53040.0
P054,31,Slab,341,5,340,Timber,36.01,20,600,432119.99999999994
P098,14,Beam,25,7,29,Timber,16.9,11,600,111539.99999999999
P055,28,Beam,39,9,40,Aluminum,69.77,20,1100,1534939.9999999998
P024,16,Column,105,3,105,Steel,60.17,24,850,1227468.0
P022,19,Wall,5,7,9,Aluminum,46.69,16,1100,821744.0
P069,17,Beam,136,9,139,Timber,93.49,9,600,504846.0
P056,26,Slab,4,5,3,Timber,56.69,21,600,714294.0
P033,6,Beam,169,5,169,Aluminum,89.88,17,1100,1680756.0
P036,9,Wall,316,7,314,Steel,62.12,18,850,950435.9999999999
P020,17,Column,310,8,315,Aluminum,43.91,20,1100,966019.9999999999
P083,31,Column,78,3,77,Aluminum,58.51,17,1100,1094137.0
P099,12,Beam,19,7,22,Aluminum,23.67,22,1100,572814.0
P081,23,Column,205,7,210,Steel,70.73,22,850,1322651.0000000002
P062,5,Wall,355,8,358,Timber,98.39,13,600,767442.0
P098,3,Wall,324,7,324,Steel,32.27,5,850,137147.50000000003
P073,24,Column,33,3,34,Aluminum,39.09,6,1100,257994.00000000003
P026,17,Slab,150,6,152,Aluminum,46.55,12,1100,614459.9999999999
P066,26,Column,193,3,196,Steel,53.51,17,850,773219.5
P073,4,Column,139,8,142,Steel,74.72,10,850,635120.0
P073,12,Beam,272,7,276,Timber,22.3,23,600,307740.0
P040,1,Slab,196,4,198,Timber,37.22,23,600,513635.99999999994
P017,21,Column,127,4,126,Steel,58.48,6,850,298248.0
P001,19,Beam,349,5,350,Timber,63.06,14,600,529704.0
P089,21,Beam,231,6,232,Aluminum,58.3,9,1100,577169.9999999999
P061,18,Beam,44,9,48,Steel,49.19,5,850,209057.5
P043,3,Wall,230,9,230,Timber,74.03,17,600,755106.0
P042,32,Beam,216,8,215,Aluminum,28.4,16,1100,499840.0
P025,10,Beam,244,5,248,Steel,35.45,14,850,421855.00000000006
P039,15,Wall,9,9,10,Timber,50.0,7,600,210000.0
P035,5,Wall,250,5,250,Aluminum,72.6,19,1100,1517339.9999999998
P003,4,Beam,200,4,201,Steel,17.41,9,850,133186.5
P044,28,Column,334,3,333,Timber,20.41,23,600,281658.0
P051,4,Slab,79,5,80,Aluminum,80.42,23,1100,2034626.0
P094,15,Wall,245,5,249,Aluminum,33.49,17,1100,626263.0
P098,17,Slab,190,9,191,Aluminum,96.71,12,1100,1276572.0
P012,3,Wall,86,6,87,Aluminum,96.53,12,1100,1274196.0000000002
P019,10,Beam,271,9,273,Steel,71.74,10,850,609790.0
P044,23,Wall,262,4,260,Aluminum,74.52,13,1100,1065636.0
P059,18,Beam,1,3,0,Steel,68.59,18,850,1049427.0
P049,1,Slab,20,6,25,Steel,25.96,9,850,198594.0
P061,31,Column,130,3,135,Timber,55.04,20,600,660480.0
P017,1,Beam,326,9,331,Steel,81.37,18,850,1244961.0
P074,3,Slab,258,3,260,Aluminum,79.72,14,1100,1227688.0
P057,3,Slab,131,5,136,Steel,90.89,21,850,1622386.5
P055,19,Wall,7,6,5,Steel,91.07,20,850,1548190.0
P047,29,Beam,340,5,343,Timber,33.53,24,600,482832.0
P012,25,Slab,241,7,242,Steel,74.95,21,850,1337857.5
P062,33,Column,192,3,193,Timber,68.62,20,600,823440.0
P080,29,Wall,310,6,314,Steel,89.72,14,850,1067668.0
P088,26,Wall,297,4,299,Timber,26.51,22,600,349932.0
P083,4,Slab,115,5,115,Steel,76.58,10,850,650930.0
P008,14,Beam,102,7,101,Aluminum,48.1,21,1100,1111110.0
P095,27,Wall,338,8,336,Steel,45.5,13,850,502775.0
P021,33,Beam,319,7,324,Timber,13.22,12,600,95184.00000000001
P081,22,Slab,1,7,2,Timber,96.53,12,600,695016.0000000001
P087,3,Slab,25,5,30,Aluminum,70.82,16,1100,1246431.9999999998
P080,23,Beam,209,4,214,Aluminum,63.16,22,1100,1528472.0
P070,21,Column,143,9,142,Timber,32.6,6,600,117360.00000000001
P072,23,Wall,197,6,198,Aluminum,69.26,7,1100,533302.0
P025,4,Slab,145,3,146,Steel,95.1,15,850,1212525.0
P082,21,Column,149,4,150,Steel,24.7,17,850,356915.0
P089,31,Column,181,5,185,Aluminum,98.54,22,1100,2384668.0
P012,21,Beam,55,8,54,Steel,48.47,15,850,617992.5
P015,26,Beam,363,6,365,Steel,98.04,18,850,1500012.0
P059,24,Beam,138,3,137,Aluminum,67.05,24,1100,1770119.9999999998
P026,11,Column,209,8,208,Timber,39.17,8,600,188016.0
P026,29,Wall,185,6,188,Steel,43.7,8,850,297160.0
P047,3,Beam,65,3,70,Aluminum,36.15,14,1100,556710.0
P032,1,Wall,37,9,37,Timber,40.13,6,600,144468.00000000003
P010,19,Beam,112,3,116,Steel,68.19,22,850,1275152.9999999998
P016,22,Column,263,7,263,Steel,11.49,15,850,146497.5
P071,14,Wall,76,8,80,Aluminum,97.09,9,1100,961191.0000000001
P017,14,Wall,296,8,298,Steel,79.17,21,850,1413184.5
P023,16,Column,178,5,178,Timber,94.69,6,600,340884.0
P026,33,Wall,254,4,259,Aluminum,74.58,7,1100,574265.9999999999
P085,13,Column,1,9,6,Aluminum,53.29,11,1100,644808.9999999999
P086,12,Column,148,7,152,Aluminum,27.08,6,1100,178728.0
P007,33,Slab,364,7,366,Aluminum,56.47,6,1100,372702.0
P014,33,Beam,159,6,163,Timber,74.05,12,600,533160.0
P079,29,Slab,324,8,325,Timber,86.88,20,600,1042560.0
P007,5,Column,268,3,269,Timber,39.17,7,600,164514.0
P009,6,Column,150,3,155,Timber,55.94,10,600,335640.0
P048,31,Wall,129,9,128,Timber,65.8,23,600,908039.9999999999
P072,16,Column,126,6,127,Timber,62.97,17,600,642294.0
P059,31,Column,1,8,1,Aluminum,14.71,8,1100,129448.00000000001
P087,25,Column,117,5,122,Aluminum,53.51,21,1100,1236081.0
P093,33,Beam,149,3,147,Aluminum,82.81,13,1100,1184183.0
P082,13,Slab,269,7,268,Timber,82.21,7,600,345281.99999999994
P095,10,Slab,189,7,191,Aluminum,55.64,5,1100,306020.0
P094,24,Beam,141,8,142,Timber,95.71,5,600,287130.0
P039,10,Beam,105,3,104,Aluminum,84.36,21,1100,1948716.0
P099,31,Beam,252,3,251,Timber,76.36,17,600,778871.9999999999
P018,13,Slab,281,5,280,Timber,56.4,9,600,304560.0
P059,3,Slab,344,8,345,Timber,63.16,23,600,871607.9999999999
P017,34,Column,101,3,103,Steel,30.09,14,850,358071.0
P014,28,Slab,282,5,287,Steel,57.92,13,850,640016.0
P031,19,Wall,358,7,357,Timber,57.34,10,600,344040.00000000006
P024,23,Slab,163,5,168,Aluminum,28.25,21,1100,652575.0
P099,32,Beam,203,3,202,Timber,95.6,11,600,630960.0
P060,13,Slab,100,4,99,Timber,32.03,20,600,384360.0
P045,33,Column,281,8,284,Steel,19.38,23,850,378878.99999999994
P098,34,Slab,257,9,262,Timber,52.03,9,600,280962.0
P003,33,Beam,94,3,95,Steel,71.75,22,850,1341725.0
P037,5,Wall,324,4,327,Aluminum,27.56,11,1100,333475.99999999994
P043,3,Beam,279,7,279,Aluminum,26.46,9,1100,261954.00000000003
P040,7,Wall,227,8,229,Aluminum,33.53,12,1100,442596.0
P090,24,Column,362,9,361,Timber,37.24,13,600,290472.0
P055,22,Column,150,6,153,Steel,32.16,24,850,656063.9999999999
P087,23,Slab,351,8,350,Timber,52.36,8,600,251328.0
P039,30,Column,62,7,65,Aluminum,11.64,7,1100,89628.0
P015,18,Column,129,7,128,Timber,17.88,16,600,171648.0
P004,32,Beam,187,7,191,Steel,75.64,13,850,835822.0
P093,7,Beam,68,5,69,Steel,47.11,14,850,560609.0
P086,33,Slab,30,9,30,Aluminum,42.43,15,1100,700095.0
P025,5,Slab,304,7,303,Aluminum,10.94,20,1100,240679.99999999997
P013,28,Slab,275,6,278,Aluminum,36.84,15,1100,607860.0
P082,8,Slab,127,3,126,Timber,83.91,12,600,604152.0
P033,15,Beam,213,4,214,Steel,40.63,18,850,621639.0
P016,4,Slab,306,8,308,Timber,96.73,6,600,348228.0
P042,34,Slab,134,8,136,Aluminum,45.1,8,1100,396880.0
P066,5,Column,219,7,219,Steel,51.77,19,850,836085.5000000001
P055,33,Slab,319,4,323,Aluminum,82.17,22,1100,1988514.0
P099,5,Wall,157,7,159,Steel,98.47,15,850,1255492.5
P042,34,Column,188,5,187,Steel,43.44,23,850,849251.9999999999
P034,26,Beam,162,4,163,Aluminum,20.79,22,1100,503118.0
P030,1,Wall,129,7,133,Steel,57.08,13,850,630734.0
P013,4,Slab,304,7,309,Steel,63.26,9,850,483939.0
P013,26,Column,89,6,88,Aluminum,96.35,14,1100,1483789.9999999998
P018,33,Slab,162,6,161,Steel,47.25,21,850,843412.5
P032,33,Column,36,9,36,Aluminum,18.17,24,1100,479688.00000000006
P096,8,Slab,227,6,229,Timber,68.58,17,600,699515.9999999999
P099,20,Wall,151,9,153,Timber,11.9,8,600,57120.0
P039,16,Beam,81,5,83,Aluminum,48.29,18,1100,956142.0
P046,21,Wall,47,9,50,Steel,46.87,12,850,478073.99999999994
P029,26,Wall,204,4,203,Timber,32.93,19,600,375402.0
P062,23,Beam,148,5,149,Aluminum,96.79,7,1100,745283.0000000001
P093,18,Column,231,3,232,Aluminum,46.31,21,1100,1069761.0
P062,31,Column,27,7,32,Steel,90.52,19,850,1461898.0
P057,12,Beam,189,7,188,Steel,56.36,5,850,239530.0
P016,1,Slab,165,7,163,Steel,83.85,9,850,641452.5
P056,9,Column,212,6,211,Aluminum,50.63,12,1100,668316.0000000001
P010,3,Wall,308,7,313,Timber,99.24,13,600,774071.9999999999
P030,26,Beam,75,9,80,Aluminum,67.6,6,1100,446159.99999999994
P025,9,Wall,92,6,97,Steel,24.04,9,850,183906.0
P084,16,Column,62,3,67,Steel,10.58,8,850,71944.0
P005,24,Beam,66,5,70,Aluminum,93.6,16,1100,1647360.0
P065,14,Beam,80,5,85,Steel,71.81,23,850,1403885.5
P094,3,Column,140,9,143,Steel,19.57,6,850,99807.0
P049,34,Column,130,5,134,Aluminum,76.91,20,1100,1692019.9999999998
P003,33,Beam,254,6,256,Timber,30.44,6,600,109584.00000000001
P045,24,Slab,320,8,319,Steel,82.83,14,850,985676.9999999999
P014,9,Beam,29,8,32,Timber,64.89,14,600,545076.0
P030,13,Slab,202,4,200,Timber,21.13,21,600,266238.0
P068,2,Wall,237,8,236,Timber,16.39,16,600,157344.0
P018,7,Slab,87,4,91,Timber,51.95,11,600,342870.0
P062,21,Slab,96,3,98,Steel,94.32,13,850,1042235.9999999999
P037,19,Column,287,4,287,Steel,60.82,18,850,930546.0
P025,25,Beam,339,3,340,Aluminum,78.32,22,1100,1895344.0
P048,22,Wall,289,7,287,Steel,52.25,14,850,621775.0
P065,11,Beam,252,9,252,Aluminum,44.57,20,1100,980540.0
P053,33,Slab,180,5,181,Timber,84.0,5,600,252000.0
P079,32,Slab,100,9,100,Aluminum,51.7,13,1100,739310.0
P073,21,Slab,73,8,77,Aluminum,22.74,17,1100,425238.0
P015,20,Beam,131,6,130,Steel,34.71,20,850,590070.0
P049,8,Slab,182,3,187,Aluminum,60.52,20,1100,1331440.0
P088,9,Beam,194,8,193,Timber,46.23,6,600,166428.0
P068,25,Wall,18,6,19,Steel,42.98,13,850,474929.0
P012,25,Wall,126,6,127,Steel,70.19,17,850,1014245.5
P059,33,Beam,211,5,210,Steel,67.27,12,850,686154.0
P037,2,Wall,7,9,6,Timber,38.26,15,600,344340.0
P061,19,Column,114,7,117,Aluminum,42.35,21,1100,978285.0
P043,20,Slab,340,7,341,Steel,77.69,24,850,1584876.0
P070,29,Slab,84,9,85,Aluminum,92.92,15,1100,1533180.0
P039,6,Slab,339,4,344,Timber,39.18,15,600,352620.0
P056,17,Column,361,8,366,Timber,36.27,20,600,435240.00000000006
P063,25,Slab,102,7,107,Timber,33.88,11,600,223608.0
P046,4,Beam,93,5,98,Steel,22.74,5,850,96644.99999999999
P088,30,Slab,316,8,320,Steel,43.95,19,850,709792.5
P011,20,Beam,102,6,105,Aluminum,56.44,22,1100,1365847.9999999998
P062,3,Wall,251,3,252,Aluminum,58.37,18,1100,1155725.9999999998
P077,23,Beam,24,3,28,Steel,72.19,17,850,1043145.5
P098,18,Beam,167,7,169,Timber,14.73,6,600,53028.0
P025,26,Beam,140,4,144,Timber,60.53,24,600,871632.0
P071,8,Slab,94,3,97,Steel,32.95,15,850,420112.50000000006
P052,17,Column,181,4,183,Aluminum,31.52,23,1100,797456.0
P004,31,Column,64,3,69,Timber,81.08,10,600,486480.0
P059,33,Beam,4,4,3,Steel,23.81,21,850,425008.5
P072,27,Slab,94,9,96,Aluminum,39.62,5,1100,217910.0
P020,4,Column,272,4,276,Aluminum,67.39,24,1100,1779096.0000000002
P093,22,Wall,283,6,281,Timber,67.86,9,600,366444.0
P063,26,Wall,132,5,131,Timber,14.33,5,600,42990.0
P054,32,Slab,72,3,70,Timber,16.53,17,600,168606.0
P074,24,Wall,304,8,304,Timber,68.98,5,600,206940.00000000003
P098,32,Wall,81,7,79,Aluminum,95.78,16,1100,1685728.0
P057,7,Wall,174,5,174,Steel,99.87,13,850,1103563.5
P090,33,Column,300,6,298,Aluminum,98.84,17,1100,1848308.0
P041,31,Wall,52,6,56,Timber,41.64,14,600,349776.0
P003,12,Beam,290,6,294,Steel,31.76,20,850,539920.0
P006,11,Beam,237,7,237,Aluminum,18.88,10,1100,207679.99999999997
P005,24,Wall,277,3,282,Steel,39.32,12,850,401064.0
P005,8,Beam,280,3,280,Aluminum,34.92,11,1100,422532.0
P054,32,Column,44,9,43,Steel,61.91,17,850,894599.5
P047,22,Slab,254,9,258,Aluminum,43.19,21,1100,997689.0
P087,34,Beam,359,4,360,Aluminum,30.84,16,1100,542784.0
P049,19,Wall,134,4,135,Timber,65.13,15,600,586170.0
P009,20,Slab,56,8,55,Aluminum,39.08,10,1100,429879.99999999994
P099,14,Slab,14,4,14,Timber,41.83,19,600,476862.0
P020,33,Wall,178,7,179,Aluminum,63.86,9,1100,632214.0
P061,10,Beam,101,5,102,Steel,20.64,20,850,350880.0
P035,16,Column,180,9,178,Steel,79.68,15,850,1015920.0
P050,4,Beam,257,3,259,Timber,96.89,14,600,813876.0
P082,27,Beam,268,4,267,Aluminum,54.17,12,1100,715044.0
P062,28,Column,362,9,364,Timber,60.39,9,600,326106.0
P017,16,Slab,37,7,37,Steel,44.62,14,850,530978.0
P088,33,Column,204,7,202,Aluminum,96.1,14,1100,1479939.9999999998
P003,19,Column,259,8,260,Timber,21.97,5,600,65910.0
P032,21,Wall,155,4,158,Steel,83.22,17,850,1202529.0
P099,22,Wall,238,9,236,Steel,68.54,24,850,1398216.0
P013,9,Beam,309,9,308,Aluminum,81.23,22,1100,1965766.0000000002
P089,9,Wall,100,8,104,Aluminum,95.54,9,1100,945846.0
P073,9,Column,273,9,273,Aluminum,54.65,20,1100,1202300.0
P068,27,Column,113,6,111,Timber,35.95,10,600,215700.0
P014,17,Wall,110,6,108,Timber,80.16,14,600,673344.0
P098,8,Wall,143,6,141,Aluminum,86.01,11,1100,1040721.0
P011,16,Wall,167,4,168,Aluminum,71.76,24,1100,1894464.0000000002
P056,18,Column,260,7,260,Aluminum,86.41,20,1100,1901019.9999999998
P067,33,Slab,145,7,146,Steel,75.73,5,850,321852.5
P092,1,Slab,230,3,228,Aluminum,96.17,11,1100,1163657.0000000002
P029,12,Wall,268,9,272,Timber,61.36,16,600,589056.0
P009,6,Beam,32,6,33,Steel,44.24,19,850,714476.0
P067,5,Beam,299,4,300,Aluminum,71.25,6,1100,470250.0
P025,16,Slab,219,3,218,Timber,16.22,22,600,214103.99999999997
P098,18,Wall,177,7,182,Steel,54.86,8,850,373048.0
P076,18,Column,104,9,106,Steel,79.61,17,850,1150364.5
P042,1,Beam,236,9,238,Timber,25.21,13,600,196638.0
P009,19,Beam,93,3,98,Timber,46.04,8,600,220992.0
P079,8,Column,201,6,200,Steel,41.53,13,850,458906.5
P040,3,Column,299,9,298,Timber,40.15,5,600,120450.0
P025,25,Wall,231,9,234,Steel,68.56,12,850,699312.0
P005,5,Column,255,9,260,Steel,54.77,5,850,232772.50000000003
P011,19,Column,85,5,86,Steel,81.76,20,850,1389920.0
P059,18,Column,35,6,38,Steel,15.21,19,850,245641.5
P098,31,Slab,117,6,118,Aluminum,50.85,19,1100,1062765.0
P088,33,Column,176,4,176,Timber,11.26,9,600,60804.0
P079,18,Beam,276,5,278,Aluminum,29.88,23,1100,755964.0
P038,16,Wall,85,9,86,Aluminum,79.78,15,1100,1316370.0
P072,16,Wall,117,8,117,Aluminum,19.54,23,1100,494361.99999999994
P005,7,Wall,362,5,367,Aluminum,19.5,7,1100,150150.0
P048,14,Slab,204,5,208,Steel,46.13,8,850,313684.0
P090,25,Beam,146,7,149,Steel,79.92,20,850,1358640.0
P018,32,Column,215,3,217,Steel,67.42,16,850,916912.0
P070,22,Beam,105,7,110,Steel,80.36,11,850,751366.0
P037,16,Wall,349,8,349,Aluminum,14.46,5,1100,79530.00000000001
P060,29,Column,297,5,297,Steel,60.74,15,850,774435.0
P048,16,Wall,356,4,355,Aluminum,50.8,19,1100,1061720.0
P077,12,Wall,69,8,67,Steel,90.64,23,850,1772011.9999999998
P028,17,Wall,255,9,253,Timber,76.36,19,600,870504.0
P069,27,Beam,231,6,229,Timber,48.19,13,600,375882.0
P077,25,Beam,203,9,203,Timber,59.85,17,600,610470.0
P081,13,Wall,362,6,363,Timber,48.23,22,600,636636.0
P040,8,Wall,248,7,253,Steel,49.7,21,850,887145.0
P045,5,Column,249,9,252,Timber,67.07,9,600,362177.99999999994
P096,12,Wall,144,8,142,Timber,29.49,20,600,353880.0
P062,3,Wall,283,7,284,Aluminum,39.99,11,1100,483879.00000000006
P093,33,Wall,356,4,360,Timber,35.12,9,600,189648.0
P058,22,Wall,241,6,245,Steel,82.07,15,850,1046392.5
P067,9,Beam,341,9,343,Aluminum,94.77,20,1100,2084939.9999999998
P056,18,Wall,229,7,232,Steel,47.29,17,850,683340.5
P040,29,Slab,31,9,34,Aluminum,16.94,6,1100,111804.00000000001
P098,27,Wall,109,3,107,Steel,18.42,16,850,250512.00000000003
P040,17,Beam,27,7,27,Timber,45.96,16,600,441216.0
P091,34,Slab,343,7,342,Aluminum,45.55,14,1100,701469.9999999999
P077,3,Slab,160,5,164,Timber,23.15,17,600,236129.99999999997
P033,5,Wall,17,3,17,Steel,82.64,16,850,1123904.0
P006,14,Wall,267,3,272,Steel,55.01,23,850,1075445.5
P088,3,Beam,129,9,132,Aluminum,19.82,21,1100,457842.00000000006
P019,23,Slab,220,4,224,Steel,18.88,20,850,320960.0
P080,30,Slab,82,9,83,Steel,50.14,21,850,894999.0
P040,23,Beam,49,5,53,Aluminum,20.52,10,1100,225720.0
P092,27,Wall,41,3,43,Timber,60.51,22,600,798732.0
P097,10,Column,20,5,23,Aluminum,44.65,15,1100,736725.0
P059,25,Column,327,5,327,Steel,92.77,16,850,1261672.0
P059,13,Slab,37,6,40,Steel,47.7,21,850,851445.0
